Economy,Economy code,ACCESSING INSTITUTIONS SCORE,Are married women required by law to obey their husbands?,Can a woman legally apply for a passport in the same way as a man?,Can a woman legally apply for a national ID card in the same way as a man?,Can a woman legally travel outside the country in the same way as a man?,Can a woman legally travel outside her home in the same way as a man?,Can a woman legally choose where to live in the same way  as a man?,Can a woman legally sign a contract in the same way as a man?,Can a woman legally register a business in the same way as a man?,Can a woman legally open a bank account in the same way as a man?,Can a woman legally get job or pursue a trade or profession in the same way as a man?,"Can a woman legally be ""head of household"" or ""head of family"" in the same way as a man?",USING PROPERTY SCORE,Who legally administers marital property?,Does the law provide for valuation of nonmonetary contributions?,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,GOING TO COURT SCORE,Does a woman’s testimony carry the same evidentiary weight in court as a man's?,Does the law establish an anti-discrimination commission? ,Does the law mandate legal aid in civil and family matters? ,Is there a small claims court or a fast-track procedure for small claims?,PROVIDING INCENTIVES TO WORK SCORE,Are mothers guaranteed an equivalent position after maternity leave?,Does the government support or provide childcare services?,Are payments for childcare tax deductible?,Are there specific tax deductions or tax credits that are only applicable to men?,Is primary education free and compulsory? ,BUILDING CREDIT SCORE,Do retailers provide information to private credit bureaus or public credit registries?,Do utility companies provide information to private credit bureaus or public credit registries?,Does the law prohibit discrimination by creditors on the basis of sex or gender in access to credit?,Does the law prohibit discrimination by creditors on the basis of marital status in access to credit?,GETTING A JOB SCORE,Is there paid leave available to women of at least 14 weeks?,Do women receive at least 2/3 of their wages for the first 14 weeks or the duration of the leave if it is shorter?,What is the percentage of maternity leave benefits paid by the government?,"What is the difference between leave reserved for women and men relative to leave reserved for women, as a function of who pays?",Is there paid parental leave?,Does the law mandate equal remuneration for work of equal value?,Does the law mandate nondiscrimination based on gender in employment?,Is dismissal of pregnant workers prohibited?,Can parents work flexibly?,Can women work the same night hours as men?,"Can women work in jobs deemed hazardous, arduous or morally inappropriate in the same way as men? ",Are women able to work in the same industries as men?,Are women able to perform the same tasks at work as men? ,Are the ages at which men and women can retire with full pension benefits equal? ,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?, PROTECTING WOMEN FROM VIOLENCE SCORE,"Is there legislation specifically addressing domestic violence? If not, are there aggravated penalties for crimes committed against a spouse or family member?",Is there legislation on sexual harassment in employment?,Is there legislation on sexual harassment in education?,Are there criminal penalties for sexual harassment in employment?,Are there  civil remedies for sexual harassment in employment?
"Iran, Islamic Rep.",IRN,36,0,0,1,0,0,0,1,1,1,0,0,40,1,0,1,0,0,0,0,0,0,0,80,1,1,0,1,1,0,0,0,0,0,43,1.0,1.0,1,1,0,0,0,0,0,1,0,1,0,0.5,0,..,0,0.0,0,0,0,0
Iraq,IRQ,45,0,0,1,0,0,0,1,1,1,1,0,40,1,0,1,0,0,0,0,0,0,0,40,0,1,0,0,1,0,0,0,0,0,37,0.73,1.0,0,0,0,0,1,0,0,0,0,1,1,0.5,..,..,0,0.0,1,1,1,1
Ireland,IRL,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,50,0,0,1,1,86,1.0,1.0,1,1,0,1,1,1,0,1,1,1,1,1,..,..,100,1.0,1,1,1,1
Israel,ISR,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,0,1,0,1,1,25,0,1,0,0,72,1.0,1.0,1,1,0,1,1,1,0,1,0,1,0,0.5,1,1,100,1.0,1,0,0,1
Italy,ITA,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,100,1,1,1,1,1,25,0,0,1,0,100,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,..,..,60,1.0,0,0,0,0
Jamaica,JAM,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,0,0,0,0,0,47,0.57,1.0,0,0,0,0,0,1,0,1,1,0,1,1,..,..,20,1.0,0,0,0,0
Japan,JPN,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,0,1,0,1,1,25,1,0,0,0,87,1.0,1.0,1,1,1,0,1,1,1,1,1,0,1,1,1,..,20,1.0,0,0,0,0
Jordan,JOR,45,0,0,1,1,0,0,1,1,1,0,0,40,1,0,1,0,0,50,0,1,0,1,80,1,1,0,1,1,0,0,0,0,0,41,0.71,1.0,1,1,0,0,0,0,0,0,1,0,0,0.5,1,..,20,1.0,0,0,0,0
Kazakhstan,KAZ,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,0,0,0,0,0,71,1.0,1.0,1,1,1,0,1,1,1,1,0,0,0,1,..,..,20,1.0,1,1,1,0
Kenya,KEN,100,1,1,1,1,1,1,1,1,1,1,1,80,1,1,1,1,0,75,1,1,0,1,80,1,1,0,1,1,0,0,0,0,0,74,0.92,1.0,0,0.11,0,1,1,1,0,1,1,1,1,1,1,..,60,0.0,0,0,0,0
Kiribati,KIR,100,1,1,..,1,1,1,1,1,1,1,1,75,1,0,..,1,1,50,1,0,0,1,40,0,0,0,1,1,0,0,0,0,0,55,0.86,0.37,0,0,0,1,1,1,0,0,1,0,1,1,1,..,20,1.0,1,1,1,1
"Korea, Rep.",KOR,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,71,1.0,1.0,0.32999999999999996,0.35,1,0,1,1,1,1,0,0,1,1,1,..,100,1.0,1,1,1,1
Kosovo,KSV,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,25,0,0,1,0,77,1.0,1.0,0.24,0.25,0,1,1,1,0,1,1,1,1,1,1,..,100,1.0,0,0,0,0
Kuwait,KWT,73,1,1,1,1,0,0,1,1,1,0,1,40,1,0,1,0,0,25,0,0,0,1,60,0,1,0,1,1,25,1,0,0,0,13,0.71,1.0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,0,0.0,1,0,0,1
Kyrgyz Republic,KGZ,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,25,0,0,1,0,59,1.0,1.0,0.92,0.92,0,0,1,1,1,1,0,0,0,0.5,0.5,..,60,1.0,1,0,0,1
Lao PDR,LAO,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,20,0,0,0,0,1,25,0,0,1,0,75,1.0,1.0,1,1,0,0,1,1,0,1,1,1,1,0.5,..,..,60,1.0,1,0,0,1
Latvia,LVA,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,25,0,0,1,0,100,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,..,..,60,1.0,0,0,0,0
Lebanon,LBN,100,1,1,1,1,1,1,1,1,1,1,1,40,1,0,1,0,0,75,1,0,1,1,60,0,1,0,1,1,0,0,0,0,0,54,0.71,1.0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,20,1.0,1,0,0,0
Lesotho,LSO,100,1,1,1,1,1,1,1,1,1,1,1,80,1,1,1,0,1,100,1,1,1,1,40,0,0,0,1,1,0,0,0,0,0,56,0.86,1.0,0,0,0,1,1,1,0,1,1,0,0,1,..,..,20,0.0,0,0,0,0
Liberia,LBR,100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,75,1,1,0,1,60,0,1,0,1,1,0,0,0,0,0,59,0.92,1.0,0,0,0,0,0,1,0,1,1,1,1,1,1,..,0,0.0,0,0,0,0
Libya,LBY,91,1,1,1,1,1,1,1,1,1,1,0,40,1,0,1,0,0,25,0,0,0,1,40,0,1,0,0,1,0,0,0,0,0,64,1.0,1.0,0,0,0,1,1,1,0,1,1,1,1,0.5,..,0.17,10,0.5,1,0,1,0
Lithuania,LTU,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,1,1,1,0,100,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,..,60,1.0,1,0,0,1
Luxembourg,LUX,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,100,1,1,1,1,1,25,0,0,1,0,93,1.0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,..,1,60,1.0,1,1,0,1
"Macedonia, FYR",MKD,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,0,1,1,1,72,1.0,1.0,1,1,0,0,1,1,0,1,1,0,1,0.8,..,1,80,1.0,1,0,1,1
Madagascar,MDG,91,1,1,1,1,1,1,1,1,1,1,0,100,1,1,1,1,1,50,1,1,0,0,40,0,0,0,1,1,0,0,0,0,0,53,1.0,1.0,0.5,0.5,0,0,1,1,0,1,0,0,0,1,1,..,70,0.5,1,0,1,0
Malawi,MWI,90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,1,0,0,1,1,0,0,0,0,0,68,0.57,1.0,0,0,0,1,1,1,0,1,1,1,1,1,..,..,60,1.0,1,0,0,0
Malaysia,MYS,73,0,1,1,1,0,0,1,1,1,1,1,60,1,1,1,0,0,75,1,0,1,1,60,0,1,1,0,1,50,1,1,0,0,37,0.61,1.0,0,0,0,0,0,0,0,1,1,0,0,1,1,..,40,1.0,1,1,0,1
Maldives,MDV,100,1,1,1,1,1,1,1,1,1,1,1,40,1,0,1,0,0,75,1,1,0,1,60,1,0,0,1,1,0,0,0,0,0,62,0.61,1.0,0,0.05,0,0,1,1,0,1,1,1,1,1,..,..,80,1.0,0,0,0,0
Mali,MLI,64,0,0,1,1,1,0,1,1,1,1,0,80,1,0,1,1,1,50,1,0,1,0,80,1,1,0,1,1,0,0,0,0,0,47,1.0,1.0,1,1,0,0,0,0,0,1,0,0,0,1,1,..,0,0.0,1,1,1,1
Malta,MLT,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,25,0,0,1,0,72,1.0,1.0,0.21999999999999997,0.23,0,1,1,1,0,1,1,1,0,1,1,1,100,1.0,0,0,0,0
Marshall Islands,MHL,100,1,1,1,1,1,1,1,1,1,1,1,50,1,0,..,..,..,75,1,0,1,1,40,0,0,0,1,1,0,0,0,0,0,46,0.0,0.0,..,..,0,0,0,0,0,1,1,1,1,1,1,..,20,1.0,0,0,0,0
Mauritania,MRT,73,0,1,1,1,1,1,1,1,1,0,0,20,1,0,0,0,0,25,0,0,1,0,60,1,0,0,1,1,0,0,0,0,0,57,1.0,1.0,1,1,0,0,1,0,0,1,0,0,1,1,..,..,0,0.0,1,1,1,1
Mauritius,MUS,91,1,1,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,40,0,0,1,1,0,100,1,1,1,1,74,0.86,1.0,0,0.06,0,1,1,1,0,1,1,1,1,1,1,1,100,1.0,1,1,1,0
Mexico,MEX,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,78,0.86,1.0,1,1,0,0,1,1,0,1,1,1,1,1,..,..,80,1.0,0,0,0,0
"Micronesia, Fed. States",FSM,100,1,1,..,1,1,1,1,1,1,1,1,75,1,0,..,1,1,25,1,0,0,0,40,0,0,0,1,1,0,0,0,0,0,46,0.0,0.0,..,..,0,0,0,0,0,1,1,1,1,1,1,..,0,0.0,1,0,0,0
Moldova,MDA,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,25,0,0,1,0,68,1.0,1.0,1,1,1,0,1,1,1,1,0,0,0,0.5,..,..,40,1.0,1,0,0,1
Mongolia,MNG,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,1,0,0,80,1,1,0,1,1,75,0,1,1,1,70,1.0,1.0,1,1,0,0,1,1,0,1,1,1,0,0.5,..,1,60,1.0,1,0,0,1
Montenegro,MNE,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,0,0,0,0,0,73,1.0,1.0,1,1,1,1,1,1,1,0,0,0,0,1,..,1,60,1.0,1,0,1,1
Morocco,MAR,91,1,1,1,1,1,1,1,1,1,1,0,40,1,0,1,0,0,75,1,0,1,1,60,1,1,0,0,1,50,0,0,1,1,67,1.0,1.0,1,1,0,1,1,1,0,1,0,0,0,1,..,1,70,0.5,1,1,1,1
Mozambique,MOZ,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,0,1,0,1,1,0,0,0,0,0,62,0.61,1.0,1,1,0,0,1,1,0,1,0,1,1,0.5,..,0.17,100,1.0,0,0,0,0
Myanmar,MMR,91,1,0,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,1,0,0,40,0,0,0,1,1,0,0,0,0,0,54,1.0,1.0,1,1,0,0,0,0,0,1,1,0,1,..,..,..,0,0.0,1,1,0,1
Namibia,NAM,91,1,1,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,60,1,0,0,1,1,25,1,0,0,0,85,0.86,1.0,1,1,0,1,1,1,0,1,1,1,1,1,..,..,80,1.0,1,0,1,1
Nepal,NPL,100,1,1,..,1,1,1,1,1,1,1,1,60,1,0,1,0,1,100,1,1,1,1,20,0,0,0,1,0,0,0,0,0,0,32,0.53,1.0,0,0,0,0,0,0,0,0,1,1,0,..,..,1,80,1.0,1,1,1,0
Netherlands,NLD,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,1,0,1,1,93,1.0,1.0,1,1,0,1,1,1,1,1,1,1,1,1,..,..,80,1.0,1,1,0,1
New Zealand,NZL,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,86,1.0,1.0,1,1,0,0,1,1,1,1,1,1,1,1,..,..,80,1.0,1,1,1,0
Nicaragua,NIC,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,80,1,1,0,1,1,100,1,1,1,1,65,0.86,1.0,0.6,0.62,0,0,1,1,0,1,1,1,0,1,..,..,80,1.0,1,0,1,0
Niger,NER,64,1,1,1,1,1,0,1,1,0,0,0,50,1,0,..,..,..,50,1,0,1,0,60,1,1,0,1,0,0,0,0,0,0,57,1.0,1.0,0.5,0.51,0,1,1,1,0,1,0,0,0,1,..,..,40,0.0,1,1,1,0
Nigeria,NGA,91,1,0,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,100,1,1,1,1,60,0,1,0,1,1,25,1,0,0,0,40,0.86,0.75,0,0,0,0,0,1,0,1,1,0,0,1,..,..,80,1.0,1,1,0,1
Norway,NOR,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,0,1,1,1,1,0,0,0,0,0,100,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,..,80,1.0,1,0,0,1
Oman,OMN,55,1,0,0,1,0,0,1,1,1,1,0,40,1,0,1,0,0,25,0,0,0,1,40,0,0,0,1,1,0,0,0,0,0,50,0.51,1.0,0,0,0,0,1,1,0,0,0,1,1,0.5,1,1,40,0.0,1,1,1,1
Pakistan,PAK,73,1,0,0,1,1,1,1,0,1,1,1,40,1,0,1,0,0,50,0,0,1,1,40,0,0,0,1,1,0,0,0,0,0,26,0.86,1.0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,..,100,1.0,0,0,0,0
Palau,PLW,100,1,1,..,1,1,1,1,1,1,1,1,50,1,0,..,..,..,50,1,0,0,1,40,0,0,0,1,1,0,0,0,0,0,46,0.0,0.0,..,..,0,0,0,0,0,1,1,1,1,1,1,..,20,1.0,1,1,1,1
Panama,PAN,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,80,1,1,0,1,1,50,1,1,0,0,67,1.0,1.0,1,1,0,0,1,1,0,1,0,1,1,0.5,0.5,..,100,1.0,0,0,0,0
Papua New Guinea,PNG,100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,75,1,0,1,1,20,0,0,0,1,0,25,1,0,0,0,42,0.0,0.0,..,..,0,0,1,1,0,1,0,0,1,1,..,..,20,1.0,1,0,1,0
Paraguay,PRY,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,100,1,1,1,1,1,75,1,1,1,0,83,0.64,0.75,1,1,0,1,1,1,0,1,1,1,1,1,1,..,60,1.0,1,1,0,1
Peru,PER,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,50,0,1,1,0,86,0.92,1.0,1,1,0,1,1,1,0,1,1,1,1,1,..,1,80,1.0,1,1,1,1
Philippines,PHL,90,1,0,..,1,1,1,1,1,1,1,1,80,1,1,0,1,1,100,1,1,1,1,40,0,1,0,0,1,50,0,0,1,1,84,0.61,1.0,1,1,0,1,1,1,0,1,1,1,1,1,..,1,100,1.0,1,1,0,1
Poland,POL,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,80,1,1,0,1,1,50,0,1,1,0,64,1.0,1.0,1,1,1,0,1,1,0,1,0,0,0,1,..,..,80,1.0,1,0,0,1
Portugal,PRT,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,25,0,0,1,0,100,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,..,60,1.0,1,1,1,1
Puerto Rico (U.S.),PRI,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,100,1,1,1,1,1,100,1,1,1,1,64,0.57,1.0,0,0,0,0,1,1,0,1,1,1,1,1,1,..,100,1.0,0,0,0,0
Qatar,QAT,55,0,1,1,0,0,0,1,1,1,0,1,40,1,0,1,0,0,25,0,0,0,1,60,0,1,0,1,1,0,0,0,0,0,40,0.51,1.0,0,0,0,0,0,0,0,1,0,1,1,0.5,1,..,0,0.0,1,1,1,1
Romania,ROM,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,25,0,0,1,0,90,1.0,1.0,1,1,1,1,1,1,0,1,1,1,1,0.8,1,0.67,100,1.0,0,0,0,0
Russian Federation,RUS,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,1,0,100,1,1,1,1,1,0,0,0,0,0,68,1.0,1.0,1,1,1,0,1,1,1,1,0,0,0,0.5,..,..,0,0.0,1,0,1,0
Rwanda,RWA,82,1,1,1,1,1,0,1,1,1,1,0,100,1,1,1,1,1,75,1,1,1,0,60,1,0,0,1,1,25,0,1,0,0,56,0.86,0.9,0,0.05,0,0,1,0,0,1,1,1,1,1,..,..,60,1.0,0,0,0,0
Samoa,WSM,90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,40,1,0,0,1,0,0,0,0,0,0,68,0.29,1.0,0,0.18,0,1,1,1,0,1,1,1,1,1,..,..,20,1.0,0,1,0,0
San Marino,SMR,91,1,1,1,1,1,1,1,1,1,1,0,100,1,1,1,1,1,25,1,0,0,0,100,1,1,1,1,1,0,0,0,0,0,87,1.0,1.0,1,1,0,0,1,1,1,1,1,1,1,1,1,..,40,1.0,1,0,1,0
São Tomé and Príncipe,STP,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,40,0,0,0,1,1,0,0,0,0,0,50,1.0,1.0,1,1,0,0,1,0,0,0,0,0,1,1,..,..,60,1.0,0,0,0,0
Saudi Arabia,SAU,36,0,0,0,0,0,0,1,1,1,1,0,40,1,0,1,0,0,25,0,0,0,1,40,0,0,0,1,1,50,1,1,0,0,16,0.71,1.0,0,0.04,0,0,0,0,0,0,0,0,0,0.5,..,0.17,20,1.0,1,0,1,0
Senegal,SEN,73,1,1,0,1,1,0,1,1,1,1,0,40,1,0,1,0,0,50,1,0,1,0,80,1,1,0,1,1,0,0,0,0,0,50,1.0,1.0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,60,1.0,1,0,0,1
Serbia,SRB,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,60,0,1,0,1,1,50,0,0,1,1,93,1.0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,..,1,60,1.0,0,0,0,0
Seychelles,SYC,91,1,0,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,0,1,0,60,0,1,0,1,1,0,0,0,0,0,78,1.0,0.66,1,1,0,0,1,1,0,1,1,1,1,1,..,1,20,1.0,0,0,0,0
Sierra Leone,SLE,100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,100,1,1,1,1,60,0,1,0,1,1,0,0,0,0,0,46,0.86,1.0,0,0,0,0,0,0,0,1,1,0,1,1,1,..,20,1.0,1,0,0,1
Singapore,SGP,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,0,1,0,1,1,0,0,0,0,0,67,1.0,1.0,0.5,0.52,1,0,0,0,0,1,1,1,1,1,..,1,60,1.0,1,1,0,1
Slovak Republic,SVK,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,50,0,0,1,1,100,1.0,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,..,80,1.0,1,0,1,1
Slovenia,SVN,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,0,1,0,1,1,25,0,0,1,0,93,1.0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,..,80,1.0,0,0,0,0
Solomon Islands,SLB,90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,20,0,0,0,1,0,0,0,0,0,0,30,0.86,0.37,0,0,0,0,0,0,0,0,1,0,1,1,..,..,20,1.0,1,0,0,0
South Africa,ZAF,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,40,0,1,0,1,0,100,1,1,1,1,84,1.0,0.9,1,1,0,1,1,1,0,1,1,1,1,..,..,..,40,1.0,0,0,0,0
South Sudan,SSD,100,1,1,1,1,1,1,1,1,1,1,1,67,1,0,..,1,..,25,1,0,0,0,40,0,0,0,1,1,0,0,0,0,0,20,0.57,1.0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,0,0.0,1,1,1,1
Spain,ESP,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,93,1.0,1.0,1,1,0,1,1,1,1,1,1,1,1,1,1,..,100,1.0,1,1,1,1
Sri Lanka,LKA,100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,100,1,1,1,1,40,0,0,0,1,1,0,0,0,0,0,38,0.86,1.0,0,0,0,0,0,1,0,0,1,0,1,0.5,..,..,100,1.0,0,0,0,0
St. Kitts and Nevis,KNA,100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,0,0,1,60,0,1,0,1,1,0,0,0,0,0,71,0.93,0.97,1,1,0,0,0,1,0,1,1,1,1,1,..,..,20,1.0,1,0,1,1
St. Lucia,LCA,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,1,0,0,1,1,0,0,0,0,0,86,0.93,0.97,1,1,0,1,1,1,0,1,1,1,1,1,1,..,80,1.0,0,0,0,0
St. Vincent and the Grenadines,VCT,91,1,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,60,0,1,0,1,1,0,0,0,0,0,64,0.93,1.0,0.87,0.87,0,0,0,1,0,1,1,0,1,1,1,..,20,1.0,0,0,0,0
Sudan,SDN,36,0,0,1,0,0,0,1,1,1,0,0,40,1,0,1,0,0,50,0,1,1,0,60,0,1,0,1,1,0,0,0,0,0,35,0.57,1.0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0
Suriname,SUR,91,1,1,1,1,1,1,1,0,1,1,1,100,1,1,1,1,1,50,1,0,1,0,60,0,1,0,1,1,0,0,0,0,0,42,0.0,0.0,..,..,0,0,0,0,0,1,1,1,1,1,..,..,20,1.0,0,0,0,0
Sweden,SWE,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,25,0,0,1,0,100,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80,1.0,1,1,0,1
Switzerland,CHE,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,0,1,1,1,1,25,1,0,0,0,85,1.0,1.0,1,1,0,1,1,1,0,1,1,1,1,0.9,0.9,0.83,60,1.0,1,0,0,1
Syrian Arab Republic,SYR,64,1,1,1,0,0,0,1,1,1,0,1,40,1,0,1,0,0,25,0,0,0,1,40,0,0,0,1,1,0,0,0,0,0,33,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,..,1,0,0.0,0,0,0,0
"Taiwan, China",TWN,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,0,1,0,1,1,25,0,1,0,0,88,1.0,1.0,0,0.09,1,1,1,1,1,1,1,1,1,1,1,1,100,1.0,1,1,1,1
Tajikistan,TJK,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,80,1,1,0,1,1,25,0,0,1,0,68,1.0,1.0,1,1,1,1,1,1,1,0,0,0,0,0.5,..,..,20,1.0,0,0,0,0
Tanzania,TZA,100,1,1,1,1,1,1,1,1,1,1,1,60,1,1,1,0,0,25,1,0,0,0,60,1,1,0,1,0,0,0,0,0,0,86,0.86,1.0,1,1,0,1,1,1,0,1,1,1,1,1,1,..,60,0.0,1,0,1,1
Thailand,THA,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,80,0,1,1,1,1,0,0,0,0,0,57,0.92,1.0,0.5,0.5,0,0,1,1,0,1,1,0,0,1,..,..,60,1.0,1,0,1,0
Timor-Leste,TMP,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,0,0,0,0,0,61,0.86,1.0,0,0.06,0,0,1,1,0,1,1,1,1,..,..,..,40,1.0,1,0,0,0
Togo,TGO,100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,0,1,0,40,1,0,0,0,1,0,0,0,0,0,80,1.0,1.0,0.5,0.51,0,1,1,1,0,1,1,1,1,1,1,..,60,0.0,1,0,1,1
Tonga,TON,100,1,1,1,1,1,1,1,1,1,1,1,20,1,0,0,0,0,50,1,0,0,1,40,0,1,0,1,0,0,0,0,0,0,42,0.0,0.0,..,..,0,0,0,0,0,1,1,1,1,1,..,..,20,1.0,0,0,0,0
Trinidad and Tobago,TTO,91,1,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,0,1,1,1,64,1.0,1.0,0.32999999999999996,0.33,0,0,1,0,0,1,1,1,1,1,1,..,20,1.0,0,0,0,0
